"latitude","longitude","co2"
89.25,116.25,0.0006134911
89.25,117,0.0006134895
89.25,117.75,0.000613488
89.25,118.5,0.0006134869
89.25,119.25,0.0006134858
89.25,120,0.0006134847
89.25,120.75,0.00061348366
89.25,121.5,0.0006134826
89.25,122.25,0.0006134815
89.25,123,0.0006134805
89.25,123.75,0.00061347947
89.25,124.5,0.0006134784
89.25,125.25,0.00061347726
89.25,126,0.000613476
89.25,126.75,0.00061347464
89.25,127.5,0.00061347336
89.25,128.25,0.000613472
89.25,129,0.0006134708
89.25,129.75,0.0006134695
89.25,130.5,0.00061346823
89.25,131.25,0.000613467
89.25,132,0.0006134658
89.25,132.75,0.00061346457
89.25,133.5,0.0006134634
89.25,134.25,0.0006134622
89.25,135,0.0006134612
89.25,135.75,0.00061346043
89.25,136.5,0.0006134597
89.25,137.25,0.0006134589
89.25,138,0.00061345816
89.25,138.75,0.00061345747
89.25,139.5,0.00061345677
89.25,140.25,0.00061345607
89.25,141,0.00061345537
89.25,141.75,0.00061345473
89.25,142.5,0.0006134539
89.25,143.25,0.00061345304
89.25,144,0.00061345217
89.25,144.75,0.0006134513
89.25,145.5,0.0006134505
89.25,146.25,0.00061344967
89.25,147,0.00061344885
89.25,147.75,0.00061344804
89.25,148.5,0.0006134473
89.25,149.25,0.0006134465
89.25,150,0.00061344577
89.25,150.75,0.00061344507
89.25,151.5,0.0006134443
89.25,152.25,0.0006134438
89.25,153,0.00061344326
89.25,153.75,0.0006134428
89.25,154.5,0.00061344233
89.25,155.25,0.00061344187
89.25,156,0.00061344146
89.25,156.75,0.000613441
89.25,157.5,0.0006134406
89.25,158.25,0.00061344024
89.25,159,0.0006134398
89.25,159.75,0.00061343936
89.25,160.5,0.0006134389
89.25,161.25,0.00061343843
89.25,162,0.00061343797
89.25,162.75,0.00061343756
89.25,163.5,0.00061343715
89.25,164.25,0.00061343674
89.25,165,0.00061343634
89.25,165.75,0.000613436
89.25,166.5,0.00061343564
89.25,167.25,0.0006134354
89.25,168,0.0006134352
89.25,168.75,0.000613435
89.25,169.5,0.0006134348
89.25,170.25,0.00061343465
89.25,171,0.00061343453
89.25,171.75,0.0006134344
89.25,172.5,0.0006134343
89.25,173.25,0.0006134342
89.25,174,0.0006134341
89.25,174.75,0.00061343407
89.25,175.5,0.00061343407
89.25,176.25,0.000613434
89.25,177,0.0006134338
89.25,177.75,0.00061343354
89.25,178.5,0.0006134333
89.25,179.25,0.0006134331
89.25,180,0.0006134329
89.25,180.75,0.0006134327
89.25,181.5,0.00061343255
89.25,182.25,0.00061343244
89.25,183,0.0006134323
89.25,183.75,0.00061343226
89.25,184.5,0.0006134326
89.25,185.25,0.000613433
89.25,186,0.0006134334
89.25,186.75,0.00061343383
89.25,187.5,0.00061343424
89.25,188.25,0.0006134347
89.25,189,0.0006134352
89.25,189.75,0.0006134357
89.25,190.5,0.0006134362
89.25,191.25,0.00061343674
89.25,192,0.00061343727
89.25,192.75,0.00061343785
89.25,193.5,0.00061343843
89.25,194.25,0.00061343855
89.25,195,0.00061343866
89.25,195.75,0.0006134388
89.25,196.5,0.00061343896
89.25,197.25,0.00061343913
89.25,198,0.00061343936
89.25,198.75,0.0006134396
89.25,199.5,0.0006134398
89.25,200.25,0.00061344006
89.25,201,0.0006134404
89.25,201.75,0.00061344093
89.25,202.5,0.00061344146
89.25,203.25,0.000613442
89.25,204,0.00061344256
89.25,204.75,0.00061344315
89.25,205.5,0.0006134437
89.25,206.25,0.00061344437
89.25,207,0.000613445
89.25,207.75,0.00061344565
89.25,208.5,0.0006134465
89.25,209.25,0.00061344774
89.25,210,0.00061344897
89.25,210.75,0.00061345025
89.25,211.5,0.0006134515
89.25,212.25,0.0006134528
89.25,213,0.00061345415
89.25,213.75,0.0006134555
89.25,214.5,0.0006134569
89.25,215.25,0.0006134583
89.25,216,0.0006134597
89.25,216.75,0.0006134611
89.25,217.5,0.00061346253
89.25,218.25,0.000613464
89.25,219,0.0006134654
89.25,219.75,0.0006134668
89.25,220.5,0.00061346823
89.25,221.25,0.0006134697
89.25,222,0.0006134712
89.25,222.75,0.00061347266
89.25,223.5,0.00061347417
89.25,224.25,0.00061347574
89.25,225,0.00061347726
89.25,225.75,0.00061347906
89.25,226.5,0.0006134809
89.25,227.25,0.00061348284
89.25,228,0.00061348476
89.25,228.75,0.00061348674
89.25,229.5,0.0006134887
89.25,230.25,0.0006134907
89.25,231,0.0006134927
89.25,231.75,0.0006134947
89.25,232.5,0.0006134967
89.25,233.25,0.00061349873
89.25,234,0.00061350083
89.25,234.75,0.00061350287
89.25,235.5,0.000613505
89.25,236.25,0.0006135073
89.25,237,0.00061350956
89.25,237.75,0.00061351183
89.25,238.5,0.0006135141
89.25,239.25,0.0006135164
89.25,240,0.0006135187
89.25,240.75,0.000613521
89.25,241.5,0.00061352336
89.25,242.25,0.0006135257
89.25,243,0.00061352795
89.25,243.75,0.0006135302
89.25,244.5,0.0006135325
89.25,245.25,0.00061353476
89.25,246,0.0006135371
89.25,246.75,0.00061353936
89.25,247.5,0.0006135417
89.25,248.25,0.00061354396
89.25,249,0.0006135463
89.25,249.75,0.0006135486
89.25,250.5,0.00061355095
89.25,251.25,0.0006135533
89.25,252,0.0006135556
89.25,252.75,0.0006135582
89.25,253.5,0.0006135609
89.25,254.25,0.0006135636
89.25,255,0.0006135663
89.25,255.75,0.000613569
89.25,256.5,0.0006135717
